time,att_x,att_y,att_z,pos_x,pos_y,pos_z
0.000002,0.051543,-0.045023,0.136845,7000.051544,-1198.855023,10.136845
0.012550,0.047544,-0.002415,-0.091604,0.000000,0.000000,0.000000
0.022798,-0.048994,-0.191099,-0.092775,0.000000,0.000000,0.000000
0.035336,0.039702,-0.005957,0.008205,7000.059592,-1198.809720,9.908385
0.046500,-0.042195,0.012213,-0.011455,0.000000,0.000000,0.000000
0.058347,-0.052449,-0.066813,0.022574,6999.975344,-1198.995681,9.907219
0.070739,-0.002577,0.024224,-0.010030,0.000000,0.000000,0.000000
0.083258,0.114478,0.201246,-0.051989,7000.076297,-1198.807837,10.008189
0.093905,0.113120,-0.192711,-0.109520,0.000000,0.000000,0.000000
0.105859,0.079246,0.047262,0.113687,0.000000,0.000000,0.000000
0.116045,-0.114424,-0.028707,-0.069717,7000.006493,-1198.787023,9.988527
0.128562,0.058220,-0.025385,-0.136987,0.000000,0.000000,0.000000
0.141079,0.008429,-0.036235,0.120975,7000.007703,-1198.863555,10.022547
0.152742,-0.015721,-0.007266,0.070798,0.000000,0.000000,0.000000
0.165257,0.120924,-0.080840,0.266637,7000.069837,-1198.769871,9.989934
0.177783,0.080769,0.174037,0.027463,0.000000,0.000000,0.000000
0.188328,0.010937,0.055925,0.073331,7000.198062,-1198.590451,9.947959
0.200852,-0.148498,-0.041511,-0.083083,0.000000,0.000000,0.000000
0.212540,-0.024891,0.005446,-0.078232,0.000000,0.000000,0.000000
0.224319,-0.153525,0.077554,0.094463,7000.208466,-1198.981908,9.890428
0.235389,0.020275,0.079599,0.025586,0.000000,0.000000,0.000000
0.246526,0.069277,0.126208,-0.015278,7000.186572,-1198.739403,10.113628
0.257617,-0.073786,-0.014868,0.124961,0.000000,0.000000,0.000000
0.269401,0.124538,0.073475,-0.155731,7000.004861,-1198.812869,9.930227
0.282053,0.110419,-0.194794,0.080184,0.000000,0.000000,0.000000
0.293485,-0.089771,0.042909,-0.059654,0.000000,0.000000,0.000000
0.306008,-0.024329,-0.128485,0.098028,7000.188842,-1198.807181,9.862942
0.318520,-0.002085,0.067622,0.181416,0.000000,0.000000,0.000000
0.329647,-0.098787,0.039286,0.021090,7000.150272,-1198.815705,10.120888
0.340535,-0.137710,0.070298,0.015699,0.000000,0.000000,0.000000
0.352769,0.040382,0.079950,0.091461,7000.138396,-1198.784217,10.070708
0.363423,-0.142287,-0.086116,-0.008262,0.000000,0.000000,0.000000
0.374211,-0.135343,-0.032092,0.077408,7000.287302,-1198.855291,10.266538
0.386738,-0.029737,-0.076817,-0.030356,0.000000,0.000000,0.000000
0.399269,0.050905,-0.016518,-0.099425,0.000000,0.000000,0.000000
0.410567,-0.130006,-0.115684,0.015252,7000.259141,-1198.597986,10.027353
0.423093,-0.010264,0.203727,-0.079108,0.000000,0.000000,0.000000
0.435635,-0.085494,-0.047814,-0.045609,7000.201475,-1198.713663,10.073223
0.448171,0.131713,-0.200039,0.000041,0.000000,0.000000,0.000000
0.458978,0.003905,-0.096382,0.084631,7000.054295,-1198.808656,9.916799
0.469025,0.051300,-0.066794,0.037395,0.000000,0.000000,0.000000
0.481557,-0.000749,-0.015150,-0.005029,7000.189154,-1198.759473,9.921641
0.494121,0.112397,0.152287,0.151088,0.000000,0.000000,0.000000
0.506674,-0.243930,0.132059,0.219003,7000.072485,-1198.685018,10.094330
0.519277,-0.062847,-0.012606,-0.058702,0.000000,0.000000,0.000000
0.530549,0.078967,0.006588,0.038888,0.000000,0.000000,0.000000
0.543093,-0.032639,0.130523,0.041169,7000.257870,-1198.680720,10.025448
0.555640,-0.037852,0.016757,0.196805,0.000000,0.000000,0.000000
0.568178,0.092299,-0.033045,-0.091653,7000.318620,-1198.631844,9.984581
0.580342,0.078476,0.118194,-0.050050,0.000000,0.000000,0.000000
0.592900,-0.240190,0.051280,0.096285,7000.187822,-1198.770574,10.124820
0.605447,0.055093,0.076134,-0.080045,0.000000,0.000000,0.000000
0.617987,0.046646,0.195583,-0.048460,7000.398403,-1198.679903,9.844123
0.629341,-0.055452,0.046069,0.005155,0.000000,0.000000,0.000000
0.641117,0.057372,0.014512,0.021982,0.000000,0.000000,0.000000
0.652737,-0.007381,-0.098316,0.100468,7000.396531,-1198.945860,10.080027
0.665340,0.017997,0.018969,-0.018612,0.000000,0.000000,0.000000
0.675543,0.099572,0.118309,0.069423,7000.208232,-1198.705936,9.940185
0.686498,0.124459,-0.177001,-0.105213,0.000000,0.000000,0.000000
0.697663,-0.090852,-0.072403,-0.283701,7000.284982,-1198.875226,10.097853
0.710205,-0.030546,0.007357,-0.106934,0.000000,0.000000,0.000000
0.722762,-0.038368,0.103610,0.091110,0.000000,0.000000,0.000000
0.735115,-0.180674,0.049506,0.019154,7000.319311,-1198.676893,10.181231
0.746608,0.235400,-0.142205,0.058482,0.000000,0.000000,0.000000
0.759136,0.049493,0.006404,0.091807,7000.234185,-1198.703117,10.020901
0.770795,-0.005849,-0.126877,0.134690,0.000000,0.000000,0.000000
0.780884,0.047746,0.092424,-0.152369,7000.207527,-1198.669891,10.015510
0.792440,0.007922,0.047016,0.152761,0.000000,0.000000,0.000000
0.802742,-0.015852,-0.171053,0.055490,7000.397421,-1198.658118,10.091263
0.814258,0.041260,0.041356,-0.007865,0.000000,0.000000,0.000000
0.826797,0.163273,0.219003,-0.054725,7000.226969,-1198.822018,9.991542
0.839364,-0.086254,-0.167876,-0.006088,0.000000,0.000000,0.000000
0.851838,-0.153395,-0.127194,0.144061,0.000000,0.000000,0.000000
0.862119,-0.105937,-0.095830,-0.080368,7000.246175,-1198.765838,10.077214
0.873213,-0.036031,0.095084,-0.067603,0.000000,0.000000,0.000000
0.883402,0.050821,0.053501,-0.174919,7000.363896,-1198.808442,9.969440
0.895683,-0.042024,-0.148500,0.024870,0.000000,0.000000,0.000000
0.908218,-0.064203,-0.006219,-0.050193,7000.456177,-1198.746121,9.900359
0.919405,0.209184,-0.149581,0.125599,0.000000,0.000000,0.000000
0.931944,-0.110801,0.020475,0.020510,7000.287522,-1198.843185,10.015035
0.942956,-0.178766,0.041746,-0.045510,0.000000,0.000000,0.000000
0.953951,0.105955,-0.008900,0.126681,0.000000,0.000000,0.000000
0.964235,-0.119759,-0.031305,0.047926,7000.419380,-1198.521708,9.920665
0.974439,-0.067145,-0.192989,-0.125044,0.000000,0.000000,0.000000
0.987114,0.093460,-0.079779,-0.061929,7000.356384,-1198.771182,9.954155
0.997691,0.187631,-0.028417,-0.149017,0.000000,0.000000,0.000000
1.010120,0.067339,0.024186,0.028614,0.000000,0.000000,0.000000
1.020803,0.223052,-0.040574,0.171529,7000.585558,-1198.921402,9.999795
1.033412,-0.049656,0.014277,-0.020294,0.000000,0.000000,0.000000
1.045962,-0.058327,-0.054876,-0.021956,7000.469365,-1198.815824,10.084384
1.058504,0.119391,-0.049502,-0.043669,0.000000,0.000000,0.000000
1.071043,0.221059,0.057784,-0.026207,7000.529019,-1198.784235,10.037153
1.083594,0.018199,0.323926,0.160742,0.000000,0.000000,0.000000
